gid	key	parent_key	parent_table	playback-scenario	text
gid_2016_05_07_nynmlb_sdnmlb_1	92	15	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669467783/1462686399715/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	93	15	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669467783/1462686399715/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	94	15	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669467783/1462686399715/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	95	15	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/669467783/1462686399715/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	96	16	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/670018583/1462686002037/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	97	16	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670018583/1462686002411/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	98	16	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670018583/1462686002411/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	99	16	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670018583/1462686002411/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	100	16	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670018583/1462686002411/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	101	16	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670018583/1462686002411/master_wired.m3u8
